Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
31/03/2023 8:47:50 PM,"483","15.2","28","834.5"
31/03/2023 8:52:50 PM,"481","15.2","28","834.8"
31/03/2023 8:57:50 PM,"487","15.1","28","834.6"
31/03/2023 9:02:50 PM,"490","15.1","28","834.6"
31/03/2023 9:07:50 PM,"483","15.1","28","834.9"
31/03/2023 9:12:50 PM,"495","15.1","28","835.0"
31/03/2023 9:17:50 PM,"480","15.1","28","834.9"
31/03/2023 9:22:50 PM,"487","15.0","28","835.0"
31/03/2023 9:27:50 PM,"484","15.0","28","835.0"
31/03/2023 9:32:50 PM,"496","15.0","28","835.1"
31/03/2023 9:37:50 PM,"486","15.0","28","835.2"
31/03/2023 9:42:50 PM,"489","14.9","28","835.3"
31/03/2023 9:47:50 PM,"492","14.9","28","835.3"
31/03/2023 9:52:50 PM,"498","14.9","28","835.5"
31/03/2023 9:57:50 PM,"494","14.8","28","835.5"
31/03/2023 10:02:50 PM,"489","14.8","28","835.4"
31/03/2023 10:07:50 PM,"485","14.9","28","835.5"
31/03/2023 10:12:50 PM,"501","15.2","28","835.6"
31/03/2023 10:17:50 PM,"494","15.2","28","835.6"
31/03/2023 10:22:50 PM,"499","15.2","28","835.7"
31/03/2023 10:27:50 PM,"495","15.2","28","835.8"
31/03/2023 10:32:50 PM,"498","15.2","28","836.0"
31/03/2023 10:37:50 PM,"498","15.2","28","836.1"
31/03/2023 10:42:50 PM,"492","15.2","28","836.0"
31/03/2023 10:47:50 PM,"487","15.2","28","836.1"
31/03/2023 10:52:50 PM,"504","15.1","28","836.1"
31/03/2023 10:57:50 PM,"488","15.1","28","836.2"
31/03/2023 11:02:50 PM,"499","15.1","28","836.0"
31/03/2023 11:07:50 PM,"494","15.0","28","836.2"
31/03/2023 11:12:50 PM,"493","15.0","28","836.3"
31/03/2023 11:17:50 PM,"497","14.9","28","836.4"
31/03/2023 11:22:50 PM,"496","14.9","28","836.3"
31/03/2023 11:27:50 PM,"496","14.9","28","836.4"
31/03/2023 11:32:50 PM,"496","14.8","28","836.4"
31/03/2023 11:37:50 PM,"497","14.8","28","836.4"
31/03/2023 11:42:50 PM,"495","14.8","28","836.4"
31/03/2023 11:47:50 PM,"500","14.7","28","836.4"
31/03/2023 11:52:50 PM,"488","14.7","28","836.6"
31/03/2023 11:57:50 PM,"499","14.9","28","836.5"
